View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
93,"Protium Company, The",,Patrick Adam,,425 SE Dexter St,Pullman,WA,99163-2312,"Design and manufacture of gaseous and liquid hydrogen storage, transportation, and dispensing technologies."
94,HALCYON NORTHWEST LLC,,Katherine Boyd,,2761 NE 95TH ST,SEATTLE,WA,98115-2429,"Established in 2014, Halcyon Northwest works with mission-driven organizations. We help our partners evaluate their programs, resolve ongoing performance issues, communicate their successes, and plan for the future. With our help, leaders can manage their work, motivate their employees and stakeholders and—most importantly—confidently pursue the changes that they want to see in the world. • Project management: traditional and Agile • Writing and communication • Strategic planning • Data system development and business analysis • Meeting facilitation • Mediation and conflict resolution • Performance metrics and reporting • Data analysis and presentation • Qualitative research"
95,"Steel Fab, Inc.",,ROB  MATTER,,6525 188th St NE,Arlington,WA,98223-8707,"Steel-Fab, Inc. continues to be an industry leader in the manufacturing of precision machinery, fabricated parts and assemblies for the aerospace, marine, nuclear, food processing, electronic and energy industries. At Steel-Fab we have continually maintained our clients’ trust and commitment to quality and on-time delivery which is reflected in our investment in technically advanced manufacturing capabilities required to deliver the precision products demanded by the industries we serve.For additional information about our products and services please visit http://www.steel-fab.com"
96,CHEMCHEK INSTRUMENTS INC,,BARBARA  R MILLER-COLLINS,,1845 TERMINAL DR STE 101,RICHLAND,WA,99354-4959,manufacturer of analytical instrumentation.
97,SEATTLE GUMMY COMPANY,,Feng (Connie) Wan,,4209 257TH PLACE SE,ISSAQUAH,WA,98029-5746,Research and development of nutraceutical and nutritional formulations
98,Vidyatech Software LLC,,Krishna Kumar Bhardwaj,,14823 Se 79th Pl,Newcastle,WA,98059-9226,Cost-effective and result-oriented Software Development and Software Testing services. Cyber security.
99,"O'Ryan, Jenifer",Double Tall Consulting,Jen ORyan,,15600 Redmond Way Ste 201,Redmond,WA,98052-3862,"Woman owned and operated, Double Tall Consulting specializes in creating LGBTQ inclusive workplaces. Dr. Jen O’Ryan completed her PhD in Human Behavior, focusing on gender, gender identity, and sexual orientation. Her research centered on the unique challenges and experiences of LGBTQ individuals. After 15+ years developing programs in the tech industry, Jen now works with organizations on their inclusion strategies and practices. She also coaches executives, managers, and employees to improve their LGBTQ cultural competency. • Executive and manager coaching. Focus on practicing inclusive language as well as understanding the nuances of gender identity, gender, and orientation • Organizational inclusion - navigating gender identity and transition, candid discussions on the unique experiences and challenges faced by LGBTQ employees • Workshops for Mental Health Counselors, Marriage and Family Therapists, and Social Workers."
100,KELLY'S EXCAVATING INC,KELLY'S EXCAVATING,DAWN  K PFEIFFER,,192 ROY RD SW,PACIFIC,WA,98047-2135,
101,"Lumenomics, Inc.",,Martha S Hoffer,,500 Mercer St Level C2,Seattle,WA,98109-4654,"lumenomics is a full service provider for entities looking to upgrade their legacy lighting with innovative, natural, lighting alternatives. Our scope of work includes daylighting solutions from beginning to end, from ﬁnancial assessment to physical installation. These solutions substantially reduce the cost for electricity for lighting, in some cases the electric costs are eliminated entirely while providing better quality light. The solutions include renewable energy daylighting, color tuning light ﬁxtures, hybrid daylight (skylight) ﬁxtures, solar window roller shades, solar ray-tracing interior and exterior blinds, and integrative lighting controls for existing buildings and new construction."
102,KENNYDALE REALTY,,Glenn Knowle,,1321 N 30TH ST,RENTON,WA,98056-2144,"Real Estate Brokerage. 25 years experience providing Real Estate services. Specializing in the listing, marketing, and sales of residential homes, condominiums, land, and multi-family properties. Experienced and knowledgable doing CMA's and BPO's."
103,5 MICRONS INC.,,Pascal  Jean-Baptiste,,4702 DAVIS AVE S,RENTON,WA,98055-6225,"At 5 Microns, we provide thorough surveys of Asbestos; Lead, Mold, and Air Quality. All of our inspectors are AHERA, Lead Renovator and Asbestos worker certified. We serve commercial and residential clients throughout the United States."
104,"Edwards, Vernon J",Vernon J Edwards Consultant,VERNON  EDWARDS,Manager,341 ASHLEY DR,UNDERWOOD,WA,98651-9146,Acquisition training
105,"Sealaska Construction Solutions, LLC",,David McQueen,,1200 6th Ave Ste 800,Seattle,WA,98101-3123,"design build, design bid-build, SRM, new construction, pre engineered medal buildings, civil environmental, construction management, remote projects, medical, visitor centers, drone support"
106,JOHN MARVIN INC,,Vicki N  Thurgood,,5335 W VAN GEISEN,RICHLAND,WA,99353-9305,Engineering Services in Nuclear Reactor Safety Analysis General Contractor
107,"Aseptico, Inc.",,Darryl Weis,,8333 216th St SE,Woodinville,WA,98072-8060,manufacturer of dental equipment
108,"SH&H VALUATION, LLC",SH&H Valuation and Consulting,Amber L Marvin,,6419 Lakewood Dr W,Tacoma,WA,98467-3331,Real Estate Appraisal Services
109,"Mainstem Fish Research, LLC",Mainstem Fish Research,Geoffrey McMichael,,101 MARINE VIEW PL,PORT TOWNSEND,WA,98368-9424,MFR LLC is a small business formed by Geoff McMichael to conduct high quality scientific research and collaborate on projects to address a variety of fisheries research needs.
110,Commercial Battery Service Inc,Commercial Battery Service,Kevin Leckman,,4210 East Rowan,Spokane,WA,99217-0000,"We service batteries, replace cells, test chargers, test batteries. Service companies out in the field. doing business for 19 years."
111,Radiant Logistics Partners LLC ,,Jason L Dennis,,405 114th SE Fl 3,Bellevue,WA,98005-6475,
112,KRAMER GEHLEN & ASSOCIATES INC,,KIANNE HOGAN,Principal,400 COLUMBIA ST STE 240,VANCOUVER,WA,98660-3413,"KGA has expertise in many construction types, including concrete (post-tensioned/pre-stressed/reinforced), masonry, steel and wood, with experience in earthquake engineering, evaluation and design in high seismic regions and inelastic dynamic analyses."
113,Bronco Electric Inc,,Christopher Blumenthal,,6375 NW Warehouse Way,SILVERDALE,WA,98383-6313,"We specialize in General Commercial and Industrial Electrical, Interior Remodel, Underground and Water-born Work. With our Industry Partners we provide: High Voltage, Fire Alarm, Telephone and Data and Access and Intrusion Control."
114,FRYER-KNOWLES INC,,MJ Falcone,Business Development,205 S DAWSON ST,SEATTLE,WA,98108-2244,
115,"CAPITAL BUSINESS MACHINES, INC.",,DEAN HARTMAN,President,3660 PACIFIC AVE SE STE A,OLYMPIA,WA,98501-2190,"Systems Networking; Computer Learning Center; Color, Digital & Analog copy machines; fax machines; electronic whiteboards; dictation machines & digital court recording systems; cash registers & POS systems; Service Department."
116,MORGAN & SON EARTH MOVING INC,MORGAN & SON EARTHMOVING,DANIEL J  Morgan,VICE PRESIDENT,6711 REECER CREEK RD,ELLENSBURG,WA,98926-8836,"ROAD CONSTRUCTION AND RECONSTRUCTION, EXCAVATION, CULVERTS, FISH PASSAGE, EROSION CONTROL, GABIIONS, GRADING, ROCKING, DITCHING, ROAD MAINTENANCE, SLIDE REMOVAL, ROAD BRUSHING, CLEARING, SLASH PILING, SNOW REMOVAL, IRRIGATION PIPE LINES."
117,"RWE Micro, Inc.",,ROBERT EDERER,,16601 NE 50th Way,Redmond,WA,98052-7021,"We provide inspection, testing, safety, and remediation tools and equipment, Which include OSHA safety signage, dehumidifiers, borescopes and air sampling equipment, etc."
118,Salish Construction Company,,Scott Hotsinpiller,PRESIDENT,"10111 South Tacoma Way, Unit D-1",Lakewood,WA,98499-5424,HIGH VOLTAGE ELECTRICAL CONSTRUCTION-OVERHEAD AND UNDERGROUND. Emergency and storm repairs.
119,IRON HORSE VAC LLC,,TAMMY  A STEWART,,1915 S OAK ST,KENNEWICK,WA,99337-6105,"Vactor Services: excavation assistance, potholing, trenching, dewatering, sewer and storm system cleaning, septic tank cleaning, sensitive utilities excavation, tank excavation"
120,Mano Construction And Remodeling Inc ,,Albert Miller,,1108 E EVERETT AVE,SPOKANE,WA,99207-3329,We are a general contractor capable of all phases of building construction
121,BAKER FULLBODY PRODUCTS,,Lucy L Baker,,21491 VIKING WAY NW,POULSBO,WA,98370-9476,Manufacture and distribute the heavy duty Baker Sport and Utility Hanger. Holds all garment types of any weight up to 100 pounds. Can design 1 of a kind related products to fit the needs of the specific customer. R & D capabilities.
122,"DANFORTH, JEFF",DANFORTH SIGNS & CARVING,JEFF DANFORTH,,12700 SE Angus St,VANCOUVER,WA,98683-3810,"Custom Woodworking - especially display and trail signs, cabinets, molding, plaques, tables Engineering project management CAD services"
123,"Ronsons Design & Construction, LLC",RONSONS,Lucas  R Yonkman,,951 NE 21st Ct,Oak Harbor,WA,98277-2715,"General Contractor, Industrial, Commercial, Concrete, Site Work, Electrical, Mechanical, Carpentry, Pre-Engineered Steel Buildings, Structural Steel, Steel Erection, Modular Trailers, Modular Buildings, Alternate Energy, Wind Power, Solar Power"
124,"Automation and Control Strategies Group, Inc.",ACS Professional Staffing,Sara Summers,,8117 NE 13th Ave,Vancouver,WA,98665-9606,"ACS is a professional staffing firm specializing in contingent, temporary, temp-to-perm, and direct hire placements in the fields of engineering, IT, admin support, legal, finance and other professional positions."
125,"WHITE SHIELD, INC.",,Stuart W Fricke,President,320 N 20TH AVE,PASCO,WA,99301-4963,"ENVIRONMENTAL: SITE ASSESSMENTS, PHASE 1 ESA, HAZARDOUS WASTE, REMEDIATION, PERMITTING, LEAD BASED PAINT, ASBESTOS SURVEY: BOUNDARY, CADASTRAL, GIS, LIDAR, RIGHT OF WAY, GIS, CONSTRUCTION, AERIAL, ALTA CONSTRUCTION MANAGEMENT: INSPECTION, MONITORING"
126,Berglund Schmidt & Assoc Inc,,HARI SHARMA,Professional Engineer,2323 BAY AVE,HOQUIAM,WA,98550-4019,"Civil Engineering, environmental engineering, surveying, and permits"
127,"FRONTIER MARKET SOLUTIONS, LLC",,Sean Brownlee,,21169 Estate Dr,Mount Vernon,WA,98274-7049,"Frontier Market Solutions, LLC dba Ravenox is your solution for Military and Commercial Rope, Cord, Lacing Tapes, Twine, Bungee, Narrow Fabrics, Kernmantle, Commercial Moving and Web Building."
128,"Suppression Systems, Inc. ",,ZACHARY Tuck,,3077 20TH ST E STE B,FIFE,WA,98424-1798,service & install fire suppression & detection systems
129,"SRM MANUFACTURING, INC.",REIFF MANUFACTURING,Jim Brennan,,670 B ST,WALLA WALLA,WA,99362-7405,"Fiberglass fabrication:engineering to product. Products include fiberglass shelters:navaids, communications, temporary quarters, and custom. Aquaculture tanks include raceways, rearing troughs,start tanks, round tanks, and transport tanks. Antenna covers"
130,ANR Group Inc,,ANGIE Copenhaver,,295 Bradley Blvd Ste 103,Richland,WA,99352-4486,"ANR Group Inc provides technical, professional and administrative support personnel for international and domestic projects."
131,Pacific Rim Aerospace Corporation ,PacRim Aero ,JILL  McCallum,,11321 NE 120th St,Kirkland,WA,98034-6907,"PacRim offers the highest quality engineers and solutions for long term commitment to the industry. Our company is built on Ingenuity, Intellect, and Integrity. Core competencies are structures, systems, and project management."
