View,Name of Firm,Trade Name,unknown,unknown,Address,City,State,Zip,Capabilities Narrative
286,Octanium Corporation,,Michael Harvey,,6326 34th Ave SW Unit C,Seattle,WA,98126-3176,"CYBER SECURITY & INFORMATION ASSURANCE Octanium Corporation works with clients to resolve current and emerging cyber security challenges. We extensive years of experience in defining and formulating information security processes and procedures to help clients maintain a secure posture during and after the engagement. The company delivers creative solutions that help meet clients' budgets and tight deadlines. PROGRAM & PROJECT MANAGEMENT Octanium’s Program, Project and Process Management Group offers dedicated seasoned and trained professionals that bring their real-world experiences to the client's scenarios. The subject matter experts work with their clients, both offsite and onsite. NIST RISK MANAGEMENT FRAMEWORK (RMF) Certified expert Security Control Assessment and Validation services to achieve Authorization to Operate for any size system in accordance with NIST RMF. We help transition from DIACAP to RMF and provide security engineering to stay compliant and secure."
287,"Anderson Environmental Contracting, LLC",AEC,Michael Boffing,President,705 Colorado St,Kelso,WA,98626-5506,"Demolition, enviro cleanup, stream-habitat improv, excavation, vac. truck services, land clearing, bridge culvert install, storm water install, UST removal cleanup/install, land clearing, wetland mitigation, dredging, marine cleanup, fire range cleanup"
288,"5 STARS LLC, THE","5 SHINING STARS, THE",Peter Nguyen,,20135 18th Avenue Ct E,Spanaway,WA,98387-1864,
289,J B KERR CONSTRUCTION,,John Kerr,,1117 NW 5TH AVE,CAMAS,WA,98607-2601,"REMODELING OF COMMERICAL BUILDINGS & TENANT IMPROVEMENT - ACOUSTICAL CEILING INSTALLATION; SHEETROCK, DRYWALL AND STEEL STUDS INSTALLATION; PAINTING, WALL FINISHES, DOORS,FRAMES AND HARDWARE. ALL PHASES OF GENERAL CONTRACTING."
290,"Solomon Park Research Laboratories, Inc.",,Wayne M Kerr,,658 S 152ND ST,BURIEN,WA,98148-1111,"Since 1984, Solomon Park has been supplying laboratories across the globe with the highest quality frozen serum and frozen plasma products. Serum and plasma is shipped fresh or frozen and is obtained from donors with known analyte values. Our products are often used to establish quality controls and to develop standards and proficiency testing materials by outside laboratories."
291,APEMS Solutions LLC,,Richard Axtell,,22625 SE 281st St,Maple Valley,WA,98038-8108,"APEMS Solutions LLC (Axtell’s Professionals in Emergency Management, Safety, and Security) is a certified Service Disabled Veteran Owned Small Business (Certified) located in Maple Valley, WA. Our high quality professional services include providing services and support in emergency and environmental planning; disaster preparedness; security strategic planning, threat management, and vulnerability assessments; governmental consulting services; and providing both workshops and table-top exercises in topics ranging from active shooter/active assailant, to NIMS and the Incident Command System. We also provide organizational assessments, policy and procedure development, and lean management development. For our products, we provide AMMEX disposable gloves (Medical, Industrial and Food Grade), and emergency kits."
292,Hughes Group LLC,"HG SOLUTIONS, DIA-MO CLEAN, TOP CHOICE SUPPLIES",PATRICK L. HUGHES SR.,Owner,3701 S Lawrence St,Tacoma,WA,98409-5717,"Logistics,Aircraft Maintenance,Janitorial, Janitorial, Consulting, Warehousing, Food Services, Computers, Facility Maintenance, Transient Alert, Security Systems, Custodial, Food Service, Animal Care, HAMS, Antiseptic Cleaning, Hospital, Housekeeping"
293,"Signal Hound, Inc.",,Melissa Harmon,,1502 SE Commerce Ave Ste 101,Battle Ground,WA,98604-0000,
294,"TRANS 360, INC.",,Sherri L Cheney,,201 HIDDEN SPRINGS RD,KALAMA,WA,98625-9845,Driver training needs and development. We come to your location. Defensive driving programs for driving in the mountains.
295,Aquatech Solutions America Inc.,,Daniel Richardson,,1465 Slater Rd,Ferndale,WA,98248-8919,"At Aquatech Solutions, we believe in doing the job right the first time and making things easy for our clients. We apply our professionalism and 30+ years of combined construction experience to every project, ensuring the highest level of quality, customer satisfaction, and peace of mind. Our clients' appreciate that we take ownership of our projects and sweat the details, so they don’t have to. We’re honored that our clients ask for us by name… we've worked hard to earn it."
296,"CONTINENTAL DOOR COMPANY, LLC",,Norman V MORSE,,12718 E INDIANA AVE,SPOKANE,WA,99212-1117,Provide and install overhead doors and operable partitions.
297,"Westek Marketing, LLC",WesTek Marketing,Jesse J Enfield,President,7415 W RIDGECREST AVE,NINE MILE FALLS,WA,99026-8620,"Service, installation and support of Digital Logging Recorders, AM Broadcast Stations, Automated Notification Systems, Radio communications command and control, IP radio communications, Radio interoperability, 911 Telephone systems."
298,"Blue Heron Group, Inc.",Washington Machine Works,Richard Stewart,,5211 1st Ave S,Seattle,WA,98108-2205,"Our full-service machine shop can machine most any part you need. We specialize in small volumes, large parts and hard-to-work materials and provide machining and light fabrication services. We can make one-off jigs and fixtures as well as short production runs of parts. 10-ton crane capacity, Turning up to 16-feet and milling up to 12-feet. We have a quality manual, rigorous inspection procedures and calibrated test equipment."
299,"ERLANDSEN & ASSOCIATES, INC ",,Kris Erlandsen,President,250 Simon St,EAST WENATCHEE,WA,98802-7710,"Since 1986, Erlandsen & Associates, Inc. has provided Professional Surveying & Mapping services to Washington State. We also provide Geographic Information Systems development, assistance, and training. We have recently expanded our existing services to include UAV (drone) capabilities. This allows us to deliver very high- resolution ortho mosaics, high resolution digital elevation models, digital terrain models, and air-borne photography and videography to our clients."
300,"TECHNICAL TRAINING MALL, LLC",,David E Faulkner,,1708 Castillo Court,Richland,WA,99352-8614,"Provider of classromm training, developer of custom training on request, provider of senior professionals for staff augmentation in quality assurance, nuclear safety, maintenance, conduct of operations."
301,"Dry Box, Inc.",,KIRK  A Vigre,,132 Estep Rd,Chehalis,WA,98532-8705,"rent and sell new and used steel shipping containers, storage containers and cargo containers. Modifiy shipping containers with doors, windows, vents, lock boxes ect."
302,R & R Group LLC,R & R Party Rentals,Troy Roper,,10920 Northup Way,Bellevue,WA,98004-1414,We are a full service party rental company servicing the state of Washington. We are also a full service equipment rental company for construction. www.rr-rentals.com
303,"PEP TALK PUBLISHING, LLC",Pep Talk CAP,Lorraine Scott,,4070 N Deer Lake Rd,Loon Lake,WA,99148-9746,"Publisher of inspirational, educational, and motivational products to include books, music and office supplies; performance coaching, and inspirational speaker."
304,"James A. Wright Construction, LLC",,JAMES  A Wright,,19108 Francis Ln,Winthrop,WA,98862-9783,"Septic design, sptic pumping, portable restrooms, excavation, gravel hauling, water lines, septic system installation."
305,"LINOLEUM & CARPET CITY, INC.",,Pete CARUSO,,1426 W FRANCIS AVE,SPOKANE,WA,99205-6769,"We are SDVOSB VA certified full service floor covering retailer/contractor specializing in the sales, service, & installation/maintenance of all floor covering products; residential, commercial, & industrial as well as; window treatments, counter tops"
306,Purpose Investment Group LLC,Bumble Bee Management,Matondo Wawa,,917 Pacific Ave Ste 306,Tacoma,WA,98402-4434,"We provide management consulting services, leadership development, process improvement, six sigma training and full support logistics services. We specialize in growing people and organizations; enhancing interpersonal aspects of the organization while improving operational efficiency and service delivery. Our CEO Dr. Matondo Wawa is an accomplished veteran of Department of Defense with an extensive background in leadership training, as well as a track record of success in program development, personnel management, supply chain, and training operations. Outstanding performance in all capacities across many years of service, highlighted by numerous awards and commendations. Superior communicator, coach, and leader capable of cultivating key relationships and collaborating with diverse people and entities."
307,Unique Experience Custom Emb Inc,Unique Experience,RONALD  D FLEMISTER,Owner/Manager,623 N CALLOW AVE,BREMERTON,WA,98312-3903,"Custom Embroidery, Screen Printing, Sewing, and Advertising Specialies"
308,CHARLES PRATT CONSULTING INC,,Charles Pratt,President,877 JUNIPER BEACH RD.,CAMANO ISLAND,WA,98282-8824,"Management and OD Consulting: Leadership Development, Teambuilding, Conflict Management, Coaching, Interpersonal Skills Training, Dialogue, Emotional Intelligence, MBTI, FIRO-B, EQ-i, Conflict Dynamics Profile, CPI-260, Lominger Voices, Communications"
309,"Pacific Northwest Business Products, Inc.",NuLeaf Office Solutions,Tracy Savage,President,5825 221ST PL SE STE 205,ISSAQUAH,WA,98027-8927,"SELL: LASER Printer Cartridges both new and remaufactured , INK JET CARTRIDGES - REMANUFACTURED and new, FAX cartridges both new and remanufactured"
310,"CSM, LLC",,Chris Fulton,,10307 41st Trl SE,Olympia,WA,98513-9320,"CSM, LLC is responsible for the overall coordination of a project. CSM, LLC must first assess the project-specific documents (referred to as a bid, proposal, or tender documents). In the case of renovations, a site visit is required to get a better understanding of the project. Depending on the project delivery method, the contractor will submit a fixed price proposal or bid, cost-plus price or an estimate. CSM, LLC considers the cost of home office overhead, general conditions, materials, and equipment, as well as the cost of labor, to provide the owner with a price for the project. Contract documents may include drawings, project manuals (including general, supplementary, or special conditions and specifications),and addendum or modifications issued prior to proposal/ bidding ad prepared by a design professional, such as an architect. The general contractor may be the construction manager or construction manager at high risk."
311,"SBC GLOBAL CONSULTING, LLC",,Sterling K Carter,,12905 NE 56TH ST,VANCOUVER,WA,98682-2288,"SBC Global Consulting, LLC helps organizations maximize productivity by reducing waste, driving cost effectiveness, and building lasting relationships between stakeholders. We are a domestic company with global perspectives."
312,"Energy Systems Management/TRS, Incorporated ",TRS Mechanical ,Clay Hand,,113 168th St S,Spanaway,WA,98387-8226,"We install and service all types of heating, ventilation, air conditioning, and refrigeration equipment. We specialize in the Tridium DDC system also known as Vykon, Honeywell Webs, etc."
313,"WORLDAWAKE, INC.",,JENNIFER  CAMPBELL,,1573 NW 6TH AVE,OAK HARBOR,WA,98277-9299,"worldAWAKE, Inc. provides tailored, comprehensive leadership development solutions rooted in best-in-class executive coaching and solid needs-based application. We specialize in Executive Coaching, Team Performance, Partnering and Facilitation Services."
314,"Haas II, Eugene C",RED WHITE & BLUE SNOW PLOWING,Eugene C Haas II,,11 N PINE CONE LN,MEDICAL LAKE,WA,99022-8789,"Provide snow plowing, Ice control, and Snow removal"
315,Alpha Sales Technologies LLC,Alpha Sales,KEN S MATTSON,President,1450 Castlerock Ave Apt 903,Wenatchee,WA,98801-2586,"Worldwide distributor of Automatic Earthquake gas shut off valve for all sizes of natural gas and LP gas lines for homeowners and industrial use. Manufacturers representative for fabrication of steel tanks, gas and oil equipment, potable water tanks."
316,"Neighbors Moving & Storage of Seattle, LLC ",,Joseph Tranisi,,18409 Cascade Ave S,TUKWILA,WA,98188-4714,"Moving, Office Moving, Storage, Relocation, Moving services, Local Moving, Interstate Moving, Long Distance Moving, Moving & Storage, Office Relocation, Residential Moving, Business Moving, Delivery, Delivery services, Furniture delivery"
317,"SURECRETE, INC.",,JEFFREY D STOKKE,PRESIDENT,155 NE 100TH ST STE 300,SEATTLE,WA,98125-8014,"SHOTCRETE EQUIPMENT, MINING & TUNNELING EQUIPMENT & SUPPLIES, CEMENT, GROUT, CONCRETE PUMPS, SHOTCRETE MIXES IN BULK BAGS, RESTORATION MIXES (SMALL OR BULK BAGS), INDUSTRIAL MIXERS."
318,"Proctor Products Co., Inc.",,Aaron M Jones,,6015 180TH ST NE STE 109,ARLINGTON,WA,98223-6042,"Proctor Products is a one-stop partner for metal and plastic manufacturing, from material processing, 3- and 4-axis precision CNC machining and lathe, and welding, to complete electrical/pneumatic assembly, inspection, and functional testing. We have been manufacturing high-quality custom one-off and high-volume prototypes, components, metal fixtures, jigs, and large platforms for over two decades. We are comfortable working with very tight tolerances, and typically do all work in-house or manage integration across a select group of trusted partners. 25 employees who are focused on lead-time and cost improvements and dedicated to the company."
319,"Controltek, Inc.",,Andy LaFrazia,Project Management/Sales,3905 NE 112th Ave,Vancouver,WA,98682-6772,Design and manufacture of custom electronic devices/controls. SDVOSB.
320,REV LLC,,R.J.  Naugle,,10011 Bridgeport Way SW Ste 1500,Lakewood,WA,98499-2332,"REV Consulting is a proven team of experienced technologists, consultants, solution architects, developers, and thought leaders that are committed to driving purposeful work across sectors and agency. REV is a full-service technology consulting firm with over a decade of high-tech experience: Veteran Owned and Operated since 2011 developing high-impact products and services. Contact us today for your technology and business solution needs."
321,"ISLAND MARINE INSTRUMENT CO, INC.",,WILLIAM  S Haimes,PRES,2214 BROADWAY,EVERETT,WA,98201-2322,"Service and sale of optical/mechanical marine navigation instruments. Including magnetic compasses, sextants, alidades and peloruses. Magnetic compass compensation or adjusting underway on vessels. Steel vessels a specialty. Will travel to any port."
322,Sound Waterworks LLC,,Andrew Bauer,,3305 31st Dr,Everett,WA,98201-4952,Licensed plumber with 15 years experience with residential new construction and remodels. Drain cleaning expert as well as repair and trouble shooting with all plumbing issues. Water Heater installation and repairs.
323,"TEEPLES, JOE",WE'RE INTO SAFETY,JOE  TEEPLES,,1015 S 233 PL,DES MOINES,WA,98198-7442,"Safety Training, OSHA Compliance, Disaster Training, Safety Audits, Safety Presentation Material, Powerpoint Slides"
324,Elliptic Systems Corporation,,ERIC STEFANIK,Sales,9019 EVERGREEN WAY,EVERETT,WA,98204-7117,"Resellers of Computer Systems & Accessories for Mainframe/Midrange Servers, Workstations, Desktops and Laptops. Specialize in UNIX and Windows Hdwr, Virus & Spyware Removal, Maintenance & Svc Repair Contracts and Svc on all products provided."
325,"Norse Sound Creative, LLC",,David Janklow,,16107 Ascension Way,Mount Vernon,WA,98273-8645,"Norse Sound Creative, LLC is a full service digital marketing agency. Specializing in website design, website maintenance, mobile application development, graphic design and online marketing for small, midsize and large businesses and organizations throughout the United States."
326,"Elite Performance And Learning Center, PS",,Joseph Trachtman,,5008 Pullman Ave Ne,Seattle,WA,98105-2138,"We manufacture and distribute the Zone-TracⓇ AR (augmented reality) device. The device trains enhanced vision, concentration and relaxation and is based on NASA research."
327,DOSTOYNIY COUNSELLING SERVICES,,LETA  R Berkshire,Counselor,29010 40TH AVE S,AUBURN,WA,98001-2519,Provide vocational and mental health counseling. Provide expert vocational witness testimony for Social Security Office of Hearings and Appeals.
328,"Velosys, LLC ",,Christopher Wade,,18804 Front Street Suite 200,Poulsbo,WA,98370-7351,"Velosys provides expert software development and IT engineering services, including geographical information systems that enhance 3d data visualization and mobility strategies."
329,"One & Done, Inc",,Michelle Wieman,,106 Goldenrod St,Port Orchard,WA,98366-1939,
330,Lee Rose Inc,Maben Trucking And Excavating,CINDY B MABEN,,1635 McDonald Tracts Rd,Grayland,WA,98547-0000,"General Contractor, Total Site Preparation - excavation,ground preparation, material placement, fill, gravel, utilities, septic installation, Road Building, Trucking - Dump Trucks, Water Line & Fire Line Installation."
331,SHARP EXCAVATION INC,,Angelina Sharp,,16316 W DENO RD,MEDICAL LAKE,WA,99022-8790,"Sharp Excavation provides services that include underground utility repair and install, Trench digging, water lines, sewer and septic tanks, backfilling, tree and grub clearing, road building, concrete sidewalks and driveways, hauling"
332,"Crux Diving, Inc.",,Dave  Cleary,,6805 NE 175th St,Kenmore,WA,98028-3502,"At CRUX Diving and Salvage Inc, we provide responsive services for underwater construction, ship maintenance and repair, marine construction and salvage."
333,11/15 Industries LLC,,Gary Kelley,,6432 NW Redfern Ct,Silverdale,WA,98383-9336,"At 11/15, we do not see the world as it is but how it could be. One of our main priorities is to help the nation and industrial base transition from a 'tactical,' or near-term, planning strategy to that of a 'strategic,' or long-term, visionary mindset by providing innovative ways of addressing problems, identifying opportunities for improvement, and implementing solutions that have a high return on investment."
334,"Radixos, LLC ",,JOHN  M WATERS,,13975 INTERURBAN AVE S # 200,TUKWILA,WA,98168-4721,"Radixos is capable of planning, procurement and management of equipment and furniture installation including medical equipment. Radixos also provides computer programming and database programming for use in-house and also for clients."
335,S.E.A. CONSTRUCTION LLC,,JOELLE  BUCKMAN,,53 ELK CREEK RD,RAYMOND,WA,98577-9214,"Heavy civil construction, dump trucking"
336,STARLING IOT LLC,,William Flynt,,539 Broadway,Tacoma,WA,98402-3907,"Starling IoT is an embedded systems/data intelligence company. We collect, organize, and manage data to make existing processes more efficient and more effective. Examples can be as simple as dashboard creation for information monitoring, or as complex as fully automated heavy equipment operation. Our specialty is mobile object tracking and sensor data. We also create entirely new processes that replace error-prone human ones. Starling IoT can turn your common objects into sensors or interactive items, creating new possibilities in your enterprise. Connect your organization and its things and transform the way you operate with Starling IoT."
337,"MGM Solutions, Inc.",POSGuys.com,Camille Hackler,,915 Iowa St,Bellingham,WA,98225-4229,•Control of Work •Permit to Work •Retail POS •Restaurant POS •Mobile Solutions Custom solutions involving barcoding and advanced data capture technologies •Warehouse Solutions •Healthcare Solutions
338,"Business Radio, Inc. ",Columbia Communications ,William A Holesworth,,205 N Volland St,Kennewick,WA,99336-2268,Two-Way radios/systems sales and service. Wireless Communications. Familiar with needs of the Public Safety providers.
339,"MEDPACS, LLC",,Sharon Wallace,,6523 CALIFORNIA AVE SW STE 273,SEATTLE,WA,98136-1833,"Healthcare Support Services, IT Support and Consulting, Case Management, Picture and Archiving System Support (PACS), IT Infrastructure Management and Operation. Application Consulting and development"
340,"MEDSTAR EQUIPMENT SALES, LLC",,Ronald LaPlante,,9017 NE 160TH AVE,VANCOUVER,WA,98682-0715,"Respiratory therapy, anesthesia supplies, ventilators, cannulas, nebulizers, flowmeters, resuscitation products, respiratory monitoring, pulmonary function, airway management, oxygen therapy, ventilator,"
341,"All Ocean Services, LLC",,ALFRED Favre,,1205 CRAFTSMAN WAY STE 100,EVERETT,WA,98201-1594,"All Ocean Services Provides ONE STOP Purchasing, Logistics and Expediting Services. Shipboard Equipment, Machinery, Main Engines and Auxiliaries, and related parts, Electrical Equipment and Components, HVAC Equipment/Parts, Piping Materials, Valves, Pneumatic Equipment/Parts, Hydraulic Equipment/Parts, Gasket Material, Seals, Bearings, Consumables for Shipboard and Shore Side Facilities, Building Materials and related Equipment for Maintenance and Repairs."
