view,name_of_firm,trade_name,Owner,address,city,state,zip,description
265,"Perez Move Management, Inc.",,Bob Perez,410 Valley Ave NW Suite C102,Puyallup,WA,98371-3317,"Perez Move Management, Inc. is located in Auburn, WA, a Greater Seattle/Tacoma area suburb. With competitive pricing for our broad variety of transportation modes, PMM offers trucking service for HHG and FAK freight of both FTL and LTL domestic & international shipments, warehouse & distribution service, office & industrial installation, domestic & international airfreight, and surface, ocean or air transportation to and from all points in Alaska. For more information, please visit our website at http://www.perezmm.com."
266,FOX'S GROUNDS & BUILDING MAINTENANCE LLC.,,Joedy Smith,23110 30TH AVE S #A-202,DES MOINES,WA,98198-7287,"Preparation of residential, commercial and government property for occupancy. Commercial and residential janitorial and custodial services. Foreclosure and eviction trash outs. Interior and exterior pre construction and post construction cleanup and maid service, pressure washing, dump runs, litter pickup, garbage hauling. General contractor construction services to include sink fixtures, light fixtures, rebuild toilets, install garbage disposals, install doors and door hardware, drywall repair, painting, face cabinetry doors, install cabinetry, renovation work, smoke alarms, appliance exchanges."
267,Huayruro LLC,,Jabali Stewart,518 NE 88th St,Seattle,WA,98115-2937,"Huayruro is a team of individuals capable of dealing with the human factor in any business, school, or home. We utilize a variety of social technologies to enable healthier relationships, bond teams, develop leaders, and heal damaged culture."
268,"Derian-OCC II, JV",,Mark Jensen,12735 Willows Rd NE,Kirkland,WA,98034-8717,"Derian-OCC II, JV is a prime contractors having joint ventured since 2004 continuously. The JV constructs industrial buildings, industrial plants, military housing, radar/communication towers, bridges, marine facilities."
269,Olympic Commercial Cleaning LLC,,Clementine  Brewer,17538 12th Ave NE #B307,Shoreline,WA,98155-3776,"At Olympic Commercial Cleaning we provide more than just janitorial services. We solve one of the most frustrating and time-consuming tasks for our clients so they can focus on creating and running businesses and organizations that feed their passions. We are skilled and trained in all aspects of janitorial servicing, so our focus is providing consistently superior work to our clients. Whether it’s a modest office a large building or a residential complex with multi-units, our janitorial services are tailored to be cost-effective and beneficial for the client and to the space. Our services include but are not limited to Deep Cleanings for Post Construction or Remodeling Projects, Business Launches and Recurring Janitorial Services."
270,"NBM Corporation of Washington, Inc ",NBM ,Ronald Collins,3225 Mission Beach Rd,Tulalip,WA,98271-9736,
271,Custom Prosthetic Ltd,,Sharon Haggerty,705 OPERA ALLEY STE K,TACOMA,WA,98402-3732,"Providing state of the art custom prosthetic restorations of the face and body. We specialize in auricular (ear), nasal, orbital, digital (finger), custom protective athletic face masks,breast and nipple, partial hand and toe/partial foot prostheses.  All phases of treatment are provided including consultation, treatment planning, fabrication and fitting, for adults and children with simple or complex facial and body conditions or tissue loss due to cancer, burns, trauma and congenital anomalies. 16+ years of experience with facial bone-anchored implant-retained prostheses."
272,MAQ LLC,MAQ SOFTWARE,Maria Walker,15446 BEL RED RD STE 101,REDMOND,WA,98052-5507,"MAQ Software is a software consulting company that specializes in developing web-based business applications, XML and .NET Web Services, and data warehousing and business intelligence solutions."
273,Kaeka Group,,DAVID KAEKA,4338 Clearwater Loop SE,Lacey,WA,98503-4437,"Kaeka Group Inc. is a Veteran owned Native Hawaiian Small Business. We are innovators in the security field who provide proactive solutions. We are specialists in the Security field providing executive protection and physical security.  We operate rigidly so as to maintain order at all times and to have the highest level of discipline and skill in what we do. We have an in-depth elimination process and a standard which must be met to ensure the completion of the mission. This is our foundation for success.  To achieve this level of success we have instituted a rigid training program to address core competencies and lessons learned. Our training philosophy is to pass on as much knowledge as possible to guide us to a successful mission. Integrating strong management teams to ensure contract compliance, customer satisfaction and world class quality will drive our success in quality control."
274,"Cougar Den, Inc",,Kyle Curtis,620 Signal Peak Rd,White Swan,WA,98952-0000,"Cougar Den, Inc. is a licensed Yakama Nation Business and has over 40 years of knowledge and experience in tribal business. We are a full -service petroleum and propane distributor. We handle the logistics of the entire fuel operation, so you do not have to worry about the day-to-day ordering of fuel. We have an outstanding staff of over 30 plus employees with 16 of those dedicated to our fuel operations."
275,Silk Road Environmental LLC,Silk Road Solar,Raymond LAM,1200 KRESKY AVE,CENTRALIA,WA,98531-3734,Environmental Studies Sustainability Studies Grant Writing Permitting
276,"DOCKSIDE MARINE SYSTEMS, INC.",,Thomas McDaniel,27642 128TH PL SE,KENT,WA,98030-8885,"Full Service Ship Repair Sandblasting,Non Skid,Tenting,Welding,Electrical"
277,"West Coast Custom Metal Design, Inc",,Oneil Martin,3950 HAMMER DR STE 104,BELLINGHAM,WA,98226-7776,Metal fabrication of industrial and commercial products. Custom metal products and metal products fabricated to customer specifications.
278,"INDELIBLE SYSTEMS, INC.",,Sairam Suresh,4247 135th Pl SE,Bellevue,WA,98006-1319,
279,HOYDAR BUCK INC,,BARBARA  K GRAY,210 W ORCHARD AVE,SELAH,WA,98942-1332,"ELECTRICAL INSTALLATION; PROVIDE ELECTRICAL MATERIALS; PROVIDE UL LISTED INDUSTRIAL CONTROL PANELS; PROVIDE ELECTRICAL INSPECTIONS AND ELECTRICAL SAFETY CONSULTATIONS; PROVIDE LOW VOLTAGE WIRING, HVAC WIRING, CONTROLS."
280,KIRA Range Services LLC,,Richard Rinehart,4208 198th St Sw Ste 104,LYNNWOOD,WA,98036-6736,"KIRA Range Services provides top notch facilities maintenance services at the best prices. KIRA is an experienced provider to the United States Government, and can provide the management, labor and support to meet a wide variety of requirements in the United States or abroad."
281,PERFECT IMAGE INC,,ERIC  FLEMING,13615 NE 126TH PLACE STE 450,KIRKLAND,WA,98034-8730,One of the largest scanning and data conversion companies in the United States. Perfect Image provides high quality deliverables at a reasonable price while maintaining project confidentiality. Company converts manual drawings into electronic formats.
282,"Keu, Inc.",,Todd Kasma,201 NE 135th St,Vancouver,WA,98685-2814,"KEU, Inc. is a woman-owned SBA 8(a)-certified heavy civil construction company, with offices in Stanley, ND and Vancouver, WA. KEU has completed multiple projects across the United States with an emphasis on site-development, demolition and utilities."
283,"INDIAN EYES, LLC",,Roxie  Schescke,2815 SAINT ANDREWS LOOP STE B,PASCO,WA,99301-9585,"Construction, environmental management & engineering firm, includes environmental remediation/compliance, waste management, design-build, D&D, H&S, asbestos/lead abatement. Equipment Logistics & staffing. Meet stringent requirements of Government Projects"
284,Allofor Inc.,,Parveen Kumar,1546 NW 56th St. #537,Seattle,WA,98107-5209,Internal Medicine Physicians services Biotechnology and medical research inclination. Global travel experience makes us more oriented for global projects as well.
285,"One & Done, Inc",,Michelle Wieman,106 Goldenrod St,Port Orchard,WA,98366-1939,
286,Integrated Design Engineers LLC ,,IGNASIUS  SEILIE,"1200 Fifth Avenue, Suite 1208",Seattle,WA,98101-3115,"Structural engineering firm specializing in design of building structures. Expertise includes design of administrative and training buildings, aviation and airfield facility structures, hangars and maintenance shops, residential structures, commercial structures, seismic assessment and upgrade, plan assessment, value engineering, tenant improvements, renovation and new construction, steel design, concrete design, and analysis of communications towers. 12 years in business and SBA 8(a) certified. Licensed in 20 states."
287,TRES WEST ENGINEERS INC,,David M Moore,2702 S 42ND ST # 301,TACOMA,WA,98409-7324,"Engineering design services: electrical, mechanical, plumbing, industrial, heating, and communications/technology. Systems assessment and analysis, HVAC, hydronic, compressed natural gas, control systems, data center, ventilation, humidity, fire protection, transit, fire alarm, power distribution, lighting, harmonics, selective coordination, VOIP, A/V, LAN, network integration, CCTV, access control, DAS systems. Energy efficiency inspection services. Sustainable green LEED certified. Drafting services. Staff of 24 persons."
288,"Valdez Construction, Inc.",,RYAN  Valdez,499 NE Midway Blvd Ste 2,Oak Harbor,WA,98277-2615,"General Contractor - Industrial building construction, site preparation, excavation, grading, demolition, underground utilities, asphalt, concrete. Septic system design/installation"
289,MILLENNIA HEALTHCARE INC.,,LARRY O UDE,21400 INTERNATIONAL BLVD STE 205,SEATAC,WA,98198-6086,"Millennia is a Washington State Home Care Company in business since 1999 committed to helping our clients enhance their quality of life through our care services. Our non-medical services include, assistance with personal care, dressing, bathing, toileting, and medication reminders."
290,"Blue Trident, LLC",,EMMANUEL  T BAUTISTA,7829 NE Esperione LN,Bainbridge Island,WA,98110-2650,"8(a), SDVOSB general contractor and professional engineering company with over 27 years of experience offering preconstruction, construction, CM, design-build, and engineering services for various commercial projects to federal, state and private clients."
291,"TARIM CONSULTING, LLC",,Max Ablimit,5123 NE 94TH AVE STE C,VANCOUVER,WA,98662-6181,"Tarim works with Oracle end users to mitigate their Oracle risks, minimize Oracle Total Cost of Ownership, obtain an effective Oracle licensing strategy, optimize their Unlimited License Agreements, and maximize the return on their Oracle investment."
292,RETAIN IT LLC,,ASHLEIGH M VANEK,1290 S 44th Ave,Ridgefield,WA,98642-7622,
293,CETS LLC,,Thomas Jordan,1441 N Northlake Way Ste 211,Seattle,WA,98103-8989,"CETS LLC is a Design/Build Electrical Manufacturer of UL Listed Power Distribution & Control Equipment Cabinets. CETS focuses on heavy industrial automation, manufacturing, & process control as applicable to facilities that create durable goods & food process facilities. CETS also provides services for ocean going vessels in the fishing & Shipping Industries & is an Industrial Electrical Contracting firm specializing in Control, Instrumentation & Power Generation paying close attention to detail & professionalism."
294,"OMA CONSTRUCTION, INC.",,BARRY OYOUNG,2356 15TH AVE S APT 105,SEATTLE,WA,98144-0000,General Contractor
295,"Ramirez Reforestation, Inc",,TOMAS  RAMIREZ,4739 181st Ln SW,Rochester,WA,98579-9456,"Reforestation- Tree Planting, Tree Thinning, Tree Prunning, Pile Burning, Road Brushing, Slashing, Spraying, ETC."
296,"HIGHGATE CONTRACTING AND CONSULTING AGENCY, LLC",Highgate Contracting and Consulting Agency,Lloyd D Wint Jr,2501 East D Street,Tacoma,WA,98421-1338,"Highgate Contracting and Consulting Agency, LLC is a socially and environmentally responsible Service-Disabled, Veteran and Minority-Owned Small Business that offers professional security consulting services, intelligence and operational support, talent management, organizational training and development, change management and wholesale goods to public and private sector entities.  Highgate's Subject Matter Experts possesses over two decades of United States Military experience, expertise and extensive qualifications relating to Special Forces, Ranger, Light Infantry, Intelligence, Operations, Advance Special Operations, and Surveillance Tactics Techniques and Procedures (TTPs). Our staff has over eight years of experience providing comprehensive security and training support services to the private sector and numerous government contracting companies. Highgate's goal is to provide value added professional services which exceeds customer satisfaction and expectations."
297,"Marine Vacuum Service, Inc.",Marvac,TOM  MYLER,1516 S Graham St,Seattle,WA,98108-2820,"24Hr Emrgncy Spill Respnse,Enviro Svcs,Hazardous Waste Transp,Fuel Trnsfr,Tank&Bilge Cleaning,Oil Process,Sludge Process,UST Removal&Install, Demolition&Site Restoration, ,Hwy Easement Cearing,.Environmental Construction, Fish Habitat improvements,"
298,"BURTON CONSTRUCTION, INC.",,JERRY  BURTON,3915 E NEBRASKA AVE,SPOKANE,WA,99217-6641,"SBA Region 10 Prime Contractor of the Year 2000, Rising Star Award 2003 & 2004. Renovation, new construction,bridges,security,concrete,carpentry, painting, masonry,roofing, demolition, excavation,utility work,lead paint abatement,mechanical,& electrical."
299,"Kauffman & Associates, Inc.",,JOANN KAUFFMAN,S 165 Howard St,Spokane,WA,99201-4444,"KAI delivers innovative solutions for federal agencies, tribal and local governments, and private organizations. We take the time to understand the culture of each organization we serve. At KAI, we provide high-quality research and evaluation, training and technical assistance, communications, meeting and event planning, and organizational transformation services. Including Strategic Planning & Facilitation; Logistical Support for Conferences and Meetings; Cultural resources; Government Policy Analysis."
300,"WHITE SHIELD, INC.",,Stuart W Fricke,320 N 20TH AVE,PASCO,WA,99301-4963,"ENVIRONMENTAL: SITE ASSESSMENTS, PHASE 1 ESA, HAZARDOUS WASTE, REMEDIATION, PERMITTING, LEAD BASED PAINT, ASBESTOS SURVEY: BOUNDARY, CADASTRAL, GIS, LIDAR, RIGHT OF WAY, GIS, CONSTRUCTION, AERIAL, ALTA CONSTRUCTION MANAGEMENT: INSPECTION, MONITORING"
301,PROGRESSIVE MACHINE INC,,Joseph Alvarez,318 E B CIR,PASCO,WA,99301-6402,WE ARE A JOB SHOP MACHINE SHOP. WE OFFER FULL SERVICE MACHINING AND WELDING SERVICES.
302,"MARSHBANK CONSTRUCTION,INC.",,DAVE C MARSHBANK,3304 OLD HARTFORD RD,LAKE STEVENS,WA,98258-8699,"GENERAL CONTRACTOR: HIGHWAY, STREET, & RUNWAY CONSTRUCTION, SURFACING, AND REPAIR; UTILITIES, IRRIGATION, DRAINAGE, RETENTION SYSTEM, WATER AND SEWER MAIN/LINE, PUMPING OR LIFT STATION, AND STORM SEWER CONSTRUCTION; DUMP TRUCKING"
303,"Excel Gloves & Safety Supplies, Inc.",Excel Supply Company,IRENE  REYES,2001 48th Ave Court E # A,Fife,WA,98424-3437,"22 Years of Contracts with State & Local Govt. 25 Years In Business (Since 1993) 10 + Years of Federal Government Contracts Woman-Minority Owned Hub-zone, WOSB, EDWOSB DBE, Small Disadvantaged Business Family-run business Headquarters in Fife, WA  Extensive Experience in Supply Chain Solutions and Optimization Prompt and Flexible Logistics Management Excellent Contract Performance, Management and Implementation Provides Highest Quality Products, Exceeds OSHA & ASTM Standards Stringent Manufacturer/Vendor Selection ISO Certified and Accredited Manufacturers Open and scalable technology and website Safety and Health is Never Compromised Largest Single PO Performed $160,000 Largest Annual Contract Performed $1,100,000 DUNS:928913409 CAGE CODE: 1KQW8 Socio Economic Status and Certifications: HUB-Zone, SDB, MWBE, WOSB, DBE & EDWOSB GSA Schedule Contracts: Schedule 84 #GS07F9190S Schedule 65 #V797P4270B"
304,Chandler Solutions LLC,,Christopher Chandler,2617 39th Ave W,Seattle,WA,98199-3109,We are a SDVOSB operating in the greater Seattle area offering cost effective solutions to security guard and patrol services as well as facilities management services. Armed and unarmed professionals available to meet all client requirements.
305,SIMONTIC COMPOSITE INC.,,SIMON SENIBI,25411 155TH AVE SE,KENT,WA,98042-4122,"Our specialty is in the area of Innovative Composite Design, analysis, testing, manufacturing and sales for Aerospace, Automotive, Land Transportation, Construction/Infrastructures, Marine Applications, Ballistic Protection, and Biomedical Applications. Green composite and clean energy technologies."
306,"B.R. MANAGEMENT SERVICES, INC.",,ROBERT G RETTIG,2187 HAMMOND AVE,DUPONT,WA,98327-9771,"postal service, landscaping service, custodial service, and food service contractor, security guard"
307,"Aaversal Global Relocation, LLC",Aaversal Global Logistics,Hosea L Bottley,614 Harrison St Ste B,Sumner,WA,98390-1131,"Aaversal Global Relocations is a Certified MBE/DBE and Disabled Veteran owned Company. Licensed and bonded with over 23 years of Government and Corporate international relocation experience. We are recognized as a highly acclaimed leader in International relocations and freight forwarding. Having no franchise restrictions, the Aaversal team works with over 250 highly experienced agents worldwide, Resulting in a compliment of talent that redefines the meaning of customer service. Aaversal is highly experienced in the art of shipping, packing and logistics of household goods and autos via air, land and sea. Our well established relationships with a diverse selection of shipping lines allows us to provide a global carrier portfolio to facilitate flexible scheduling to meet individual shipping requirements. Aaversal understands the complexity of relocating overseas and want to ensure the client understand and well informed with the process of an international relocation."
308,"SBC GLOBAL CONSULTING, LLC",,Sterling K Carter,12905 NE 56TH ST,VANCOUVER,WA,98682-2288,"SBC Global Consulting, LLC helps organizations maximize productivity by reducing waste, driving cost effectiveness, and building lasting relationships between stakeholders. We are a domestic company with global perspectives."
309,"Sealaska Remediation Solutions, LLC",SRS,Terrence Heikkila,1200 6th Ave Ste 800,Seattle,WA,98101-3113,"Sealaska Remediation Solutions was 8(a) certified on February 7, 2019. We are a full service environmental consultant that specializes in environmental site assessment; environmental planning, permitting and reporting; regulatory compliance; remedial investigation; environmental engineering and remediation system design; groundwater, soil, surface water and sediment remediation; in situ groundwater investigation and remediation; remediation system operation, maintenance and optimization; and long-term monitoring and remedy assessment."
310,KIRA Administrative Services LLC,,Richard Rinehart,4208 198th St Sw Ste 104,Lynnwood,WA,98036-6736,KIRA Administrative Services provides office services and personnel and professional development training to the US DOD.
311,THOMPSON ELECTRICAL CONSTRUCTORS INC,,Sonia R Billingsley,150 100TH ST S,TACOMA,WA,98444-6513,"Services: Government Agencies, JBLM, PSNS, Bangor, Ballard Locks, VA, Army Reserve Center Pier 23, FAA, KCHA; local agencies: University Place, Pierce County, City of Tacoma, School Districts, Medical Facilities, Franciscan Medical Campuses, Western State Hospital,Utility Work: Communication sites, Road Construction projects such as street lighting, traffic signals, solar school zone flashing beacons, solar crosswalks and traffic loops, Low Volt: Fiber Optic Cabling, Data, Communications"
312,Sustainable Floors Inc.,Sustainable Interiors,Dana  G Pittman,5009 Pacific Hwy E Ste 7,Fife,WA,98424-3431,"We provide flooring like carpet, vinyl, hardwood, refinishing, rubber, LVP, tile, stair treads, etc certified payrolls, ARRA, LEED, etc"
313,CONTINUUM OFFICE ENVIRONMENTS LLC,,Israel  Guerrero,720 N FANCHER ROAD,SPOKANE VALLEY,WA,99212-1053,"Continuum Office Environments, LLC offers customers a diverse package of industry-leading, manufactures and can meet the broadest expectations for any environment. With years of design expertise, we look forward to creating a vibrant space for your agency or company. We are dedicated to customer satisfaction, from purchase to install and are committed to industry-leading performance. In our evolving healthcare environments, partnership with an experienced and knowledgeable firm is essential. Continuum Office Environments, LLC exceeds patient, family and caregiver expectations in any healthcare space. Continuum Office Environments, LLC has worked with many regional schools, creating showcase learning environments. We specialize in contract sales and support educational contracts for every school."
314,"SITE ENVIRONMENTAL, LLC",,Michael J Williams,1744 S DAWSON ST,SEATTLE,WA,98108-2363,"Site Environmental, LLC is a Phase 1 Environmental Site Assessment (ESA) consulting company. We provide our service for real estate property transactions and exchanges to multiple related sectors. The Phase 1ESA is also what is referred to in the Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA) as all appropriate inquiries (AAI). AAI is a process of evaluating a property’s environmental conditions and assessing potential liability for any contamination. AAI is due diligence that must be conducted by the potential new property owner to obtain certain protections from liability under CERCLA. The ASTM E1527-13 Standard Practice for Environmental Site Assessments: Phase I Environmental Site Assessment Process is consistent with the requirements of CERCLA. ASTM E1527-13 is the standard used by Site Environment for our practice."
315,Kira Aviation Services LLC,Kira Operations Support,Richard Rinehart,4208 198th St Sw Ste 104c,Lynnwood,WA,98036-6736,"Repair station specialized in heavy airframe maintenance and modification services and component maintenance, repair, and overhaul services for commercial and regional aircraft,Logistics and integrated supply chain management"
316,Critical Medical Solutions Inc.,,THOMAS  Ross,9115 Bridgeport Way SW Ste 3,Lakewood,WA,98499-2449,"Teleradiology Services staff with Board Certified Radiologist. Services provided to Medical Treatment Facilities, Tricare and VA Medical Hospitals."
317,North Tech Equipment Repair LLC,,Patricia Detmer,3121 TRAVEL PLAZA WAY,PASCO,WA,99301-9800,"Heavy duty equipment repair, diesel repair, ALlison transmission authorized dealer"
318,"Logistic Resource Solution, Inc ",LRS ,DARRYL  SIMMONS,15413 1ST AVE CT SO STE 106,Tacoma,WA,98444-4606,"Logistic Resource Solutions, Incorporated (LRS) provides comprehensive management and functional support services to government agencies and corporate organizations. LRS construction division has over 60 years of exeperience."
319,"Mahmood, Ibtihal ",,Ibtihal R Mahmood,6916 Columbia Ct,Everett,WA,98203-5431,"Arabic <> English translation and interpretation, legal translation, medical interpretation, localization, globalization, intercultural communication, QA testing, research, writing, editing, proofreading, desktop publishing, copy editing"
320,"Sealaska Environmental Services, LLC",,Terrence Heikkila,3200 George Washington Way Ste D,Richland,WA,99354-1664,"Environmental, remediation, consulting, engineering, project managment, construction, demolition, SATOC, EMAC, 8A, O&M, Monitoring, Waste identification, management,and disposal, Permitting, LTM, operations, maintenance, radiological waste"
321,"Emerald, Inc",EMERALD CITY SERVICES,Victor M Servin,10405 DES MOINES MEMORIAL DR S,SEATTLE,WA,98168-1633,"Fire Protection Services, Extinguisher Sales/Service/Rental, Kitchen Hood/Exhaust Cleaning, Kitchen Fire Suppression Systems Install/Service, Extinguisher Training English/Spanish, Safety Products Sales, Carbon Dioxide Systems Service."
322,"BELENUS SOLUTIONS, LLC",,Jeffrey A Balentine,11515 297TH DR NE,GRANITE FALLS,WA,98252-8513,"Belenus is a small, minority, and veteran owned company grounded in “Shared Values”, and extremely competitive billing rates. As a service consultancy, we are unique in the fact that all personnel have practical as well as theoretical experience in commercial, US Government, and local government service sectors. The Belenus team is made up of a highly experienced, and technically savvy team, and we employ associates who are experts in their respective fields. The Belenus team has held management, and senior executive positions in both government and commercial industries. This combination provides us with a reservoir of knowledge that allows us to immediately tackle ad hoc, and complex projects without having to deploy resources to learn the basic tenets of the subject matter as would be required of non-specialist service providers."
323,BULK CARGO SERVICES & LOGISTICS INC.,,Darrell L Bryant,15400 NE 103RD DR,VANCOUVER,WA,98682-1944,"Bulk Cargo Services & Logistics, Inc.(BCS&L) is a provider of domestic and international transportation and logistics services and has been in operation since 2011. We also provide sales and procurement services to city, state, federal government agencies as well as overland and ocean transportation and consultations services. BCS&L is federally licensed and bonded to perform these services. Our license allow us to provide freight forwarding services to the U.S. Military, USDA,USAID,GSA to name a few, and private sector as well, both domestically and internationally."
324,"United Professional Caulking & Restoration, Inc",UNIPRO,Susan L BelCher,4491 S 134th Pl,Tukwila,WA,98168-6204,Caulking & Sealants; Remedial Sealants; Inspection & Consulting; Masonry & Concrete Restoration; Exterior Wall Coatings; Building Cleaning & Sealants; Deck Coatings; Waterproofing; vapor Barriers; Firestopping
325,"Prowess Consulting, LLC",Smart Deploy,Aaron  Suzuki,12100 NORTHUP WAY STE 100,BELLEVUE,WA,98005-1913,"Prowess Consulting specializes in working with enterprise and mid-market companies to define, manage, and market technology solutions and services. Prowess also sells smartdeploy a image deployment software solution."
326,"North Wind Solutions, LLC ",,JOHN BUKOWSKI,"507 Knight St, Ste A",Richland,WA,99352-4258,"North Wind Solutions is a small business with Top Secret clearance specializing in infrastructure support services and facilities maintenance, base operating services, waste management and radiological services, security control and force protection, environmental services, janitorial services and professional, administrative, and management services. North Wind Solutions shares common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC), with a family of companies managed by North Wind Group, a CIRI government contract holding entity. Under North Wind Group, North Wind Solutions operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system to successfully execute Government contracts. North Wind Solutions offers clients a low risk small business backed by a mature, financially strong parent organization and an excellent past performance history."
327,"AHTNA ENVIRONMENTAL, INC.",,Bernie Wong,900 SW 16TH ST STE 330,RENTON,WA,98057-2637,"Ahtna Environmental, Inc. is a wholly owned subsidiary of Ahtna, Inc., an Alaska Native Regional Corporation (ANC) with 8(a) and Small Disadvantaged Business certification from the Small Business Administration. We are an established self-performing contractor that specializes in the execution of time-sensitive, complex, and multifaceted environmental, engineering, construction, and professional services projects for government and commercial clients. Our multidisciplinary professional staff includes scientists, engineers, construction supervisors and craft labor, and records management personnel with decades of experience."
328,"iVirtuAssist, LLC",,Charlette Glover-Beardsley,910 Summit St,Aberdeen,WA,98520-2969,"iVirtuAssist specializes in virtual secretarial support, corporate travel support, dispatching and call center support, desktop publishing, web design, and other services that can be customized to meet our client’s outsourcing needs."
329,"Pacific Tech Construction, Inc.",,JOE  Lane,1302 Walnut St,Kelso,WA,98626-2719,"General Contractor, Roofing and Roof Structures Contractor, Asbestos, Lead & Mold Abatement Contractor, Design/Build Services, Consulting & Design Services, Renovations & Remodels, Seismic & Sructural Upgrades, Tenant Improvements."
330,Bristol Construction Services LLC,,Travis Woods,1800 4th St Ste D,Marysville,WA,98270-5044,"Civil & structural engineering, civil & vertical construction, environmental remediation, fuel systems, range, and unexploded ordnance response throughout the US and select OCONUS locations. A spectrum of services for public and private sector clients."
331,Advanced Technology Construction Corporation,,Dennis Farrow,3828 E Portland Ave,Tacoma,WA,98404-4620,"ATC is a General Contractor specializing in Industrial and medical Construction & Federal Contracting; Design Build, Medical Office & Hospital Renovations as well as Cleanroom and Data Centers. ATC is also able to perform Site/Civil work, Roofing & Raised Access Flooring. Current area of operations include, California, Oregon, Washington State, Idaho, Alaska, Montana, and New Mexico."
332,Arthur Jackson CTC Inc.,,Arthur Jackson Jr,4708 87th St SW,Mukilteo,WA,98275-3220,"Supply onsite and online training in Health and safety, CPR, First Aid, and Remote and Wilderness Training. Provides the most complete safety training in First Aid, and CPR"
333,"RJS Construction, Inc.",,Shannon Sevigny,1618 B Rudkin RD,Yakima,WA,98901-4030,"Design-build general contractor; 30 years' experience; 94% return clients; new and renovations ranging $1k-$10M; self-perform carpentry, civil, painting, electrical; completed projects throughout the United States"
334,Olivian Global Solutions Inc.,UNCLEMACS,MackAllen Wright,33530 1st Way S Ste 102,federal way,WA,98003-7332,300 million unit/year frozen foods production capability
335,TL Rickman Incorporated,TLR General Contractor Servs,Anthony D Rickman,32117 13th Pl SW,Federal Way,WA,98023-5525,
336,Jamestown S'klallam Tribe Economic Development Authority,Jamestown Networks,Hawk Grinnell,257 Business Park Loop,Sequim,WA,98382-9423,"The mission of the Jamestown S’Klallam Economic Development Authority is to assist the Tribe, its citizens and their families in achieving stable, long-term, economic self-sufficiency, by: encouraging and supporting entrepreneurship; creating a stable economic foundation centered on the pursuit of for-profit ventures; strengthening existing Tribal businesses; providing employment opportunities for Tribal citizens; creating a sustainable revenue stream to support essential governmental services provided by the Tribe, including those to its Elders and children, while preserving and enhancing the Tribal heritage and culture, and utilizing the unique resources available to the Tribe."
337,"Wabinga, Lisa",,Lisa Wabinga,22907 130th Pl SE,Kent,WA,98031-3729,"Company is led by Human Resource Manager who is well versed in all matters of federal personnel administration and conditions of employment to include terminations, discipline, reasonable accommodation, leave administration, employee performance, OWCP, benefits, promotions, harassment and retaliation. Our expert knowledge of employee relations enables our company to quickly derive the basis for employee related issues and assist employees in the informal and formal EEO Discrimination Complaint Process. Our EEO Counselors are retired federal and military service members who have worked across the globe and who have past experience working in agencies to include the Department of Defense, Department of Justice, Social Security, and FEMA."
338,AGCS III LLC,,George Burton,23410 18TH AVE S APT B102,DES MOINES,WA,98198-7583,"We provide bus and van transportation such as dispatching and guiding customers on directions in secured areas and facilities subject to special regulations. Bus and van transportation at airports and military bases. AGCS III stands for safety, trust and teamwork."
339,"OSIRIS ENTERPRISES, LLC",,EVANS  ROBINSON,12612 SE 158th St,Renton,WA,98058-4726,"WE DO REMODELING, ALL STAGES, CONSTRUCTION CLEAN-UP, JANITORIAL, INTERIOR AND EXTERIOR. CAN WORK AS GENERAL CONTRACTORS OR SUB CONTRACTORS."
340,DABOB PRECISION SHEETMETAL LLC,,DANA   Cruz,21964 South Kingston Rd NE,Indianola,WA,98342-0000,"Precision Sheetmetal fabrication, prototyping, forming, assembly. Aerospace electronic enclosure experience"
341,M&b Interpreter Services,,Bjelava A Rump,1707 S canyon woods ln,spokane,WA,99224-5149,English-Spanish Federally and State Certified Interpreter
342,S & T WINDOW FILMS,,SHANE MILLER,17642 IRWIN ST SW,ROCHESTER,WA,98579-7524,"Our product is a superior security laminate that when applied to glass windows and doors forms a bond to provide a virtually impenetrable clear barrier, turning your glass into an invisible barricade,"
343,"ELECTRIC CITY, INC.",,KEVIN MILLER,3501 E TRENT AVE,SPOKANE,WA,99202-4416,"New construction, remodel, of electrical equipment. Lighting retrofits, troubleshooting of electrical equipment. Adds, moves and changes"
344,"Grenlar Holdings, Inc.",Grenlar Construction,Kalen Grenzebach,16636 Simonds Rd Ne,Kenmore,WA,98028-4413,"Grenlar Capabilities: Excellent client satisfaction for general construction & construction management services. We specialize in commercial and industrial construction, design, design/build, tenant improvement, historical renovation, hospital, marine, environmental, site work, excavation, utilities, concrete, pre-engineered metal buildings or PEMB's (erect & supply), structural steel fabrication, wood framing, masonry, and communication services."
345,"1 Alliance Geomatics, LLC",,Takeshi J Nakamura,1261 120TH AVE NE # A,BELLEVUE,WA,98005-2121,"Small Disadvantaged Business (SDB) specializing in surveying, mapping, and GIS services, for public works civil infrastructure, environmental, and natural resource projects with professional surveying licenses in Washington, Oregon, Idaho, and Alaska. OMWBE Certified DBE"
346,"Doyon Management Services, LLC",,Anthony  Wood,3450 S 344th Way Ste 100,Federal Way,WA,98001-5931,DMS provides comprehensive construction support services for existing and new facilities.
