name_of_firm,trade_name,category,owner,address,city,state,zip,description
"Keu, Inc.",,women-owned,Todd Kasma,201 NE 135th St,Vancouver,WA,98685-2814,"KEU, Inc. is a woman-owned SBA 8(a)-certified heavy civil construction company, with offices in Stanley, ND and Vancouver, WA. KEU has completed multiple projects across the United States with an emphasis on site-development, demolition and utilities."
WELCOME TO LIVING,,women-owned,Taya Bennett,2224 BONAIR PL SW,SEATTLE,WA,98116-1825,
NB PRODUCTS INC ,,women-owned,MICHELYN CALDWELL Caldwell,5518 163rd St E Ste B,puyallup,WA,98375-9039,"NB Products, Inc. 5518 163rd St. E., Ste B Puyallup, WA 98375 888-880-1959 toll-free 253-536-8000 local 253-536-8001 fax Michelyn Caldwell michelyncaldwell@nascent4u.com nascent4u.com DUNS: 020922314 CAGE: 564F3 NAICS: 446199,325620, 339113 Na`Scent is not a deodorant. This clear liquid doesn’t hide odor, it eliminates it by creating an oxygen-rich environment that eliminates odor-causing microbes in the pouch. For use in colostomy, ileostomy and urostomy pouches and stoma caps, Na`Scent allows you to enjoy your favorite foods and socialize without worry. • 1oz, 2oz, 8oz, and12oz bottles available • Woman owned and operated • WOCN Corporate Member • 100% made in the USA • Government credit cards accepted NB Products is family owned and operated and has been eliminating ostomy odors since 1998. We are the developers and manufacturer of the original Clear Ostomy Odor Eliminator called Na`Scent."
ABLE SPACES INC.,Able Spaces,women-owned,YVONNE L Welles,36308 N Newport Hwy,Chattaroy,WA,99003-0000,"Over 30 years of experience in planning, designing, estimating, ordering, tracing and installing commercial/contract furniture of all types."
"Environmental Abatement Services, Inc.",,women-owned,CATHERINE D MARQUEZ,18365 W Lincoln,Mount Vernon,WA,98273-3133,"EAS specializes in the removal and disposal of asbestos containing materials and lead paint in accordance with lacal, state and federal regualtions."
"Dockit Consulting, LLC",,women-owned,Celia M Aguda,1278 CANTERBURY LN,OAK HARBOR,WA,98277-8453,"NEPA documents, biology resource surveys and studies, process mapping, project management, agency coordination, Federal permitting assistance, land use planning, environmental assessments, cultural resource surveys"
"MBSquared, Inc.",West Sound Workforce,women-owned,Monica Blackwood,5790 Soundview Dr Ste 103,Gig Harbor,WA,98335-2024,"We are a client-centered staffing firm focusing on the Northwest Region and have over 8,000 successful staffing placements of all employment types. We provide temporary help, contingency staffing, executive and management search. We also providing background checks and skills testing."
Global Construction Group Inc,E Q Exhaust,women-owned,ANGELA SOWELL,3111 Columbia Heights Rd,Longview,WA,98632-5626,"8(a),SDB,HubZone,MBE,Native American general contracting firm. Strengths include, new construction, renovations, concrete, steel, metal buildings, roofing, flooring, campground improvements."
Hale Milligan And Associates,,women-owned,Kelli S. Hale,307 N Olympic Ave Ste 209,Arlington,WA,98223-1351,"Plans specifications and estimates for roads, storm drainage, storm sewer, sanitary sewer, water, utilities, pedestrian facilities, building site design, planning, temporary erosion and sediment control, habitat restoration and construction inspection."
"MJ BOWER AND ASSOCIATES, INC.",,women-owned,RICK BOWER,100809 E KASE BLVD,KENNEWICK,WA,99338-0000,Technical consulting and staffing Services.
Taylor Gregory Broadway Architects Corp.,Tgb Architects.com,women-owned,Cindy Leonard,"21911 76th Ave W, Ste 210",Edmonds,WA,98026-7918,"We are a woman owned business licensed to practice architectural design in Washington, Oregon and Montana. We provide healthcare design expertise and help focus on community. TGB Architects also Help churches by creating a master plan on how to house more people so they can reach their full potential."
TRES WEST ENGINEERS INC,,women-owned,David M Moore,2702 S 42ND ST # 301,TACOMA,WA,98409-7324,"Engineering design services: electrical, mechanical, plumbing, industrial, heating, and communications/technology. Systems assessment and analysis, HVAC, hydronic, compressed natural gas, control systems, data center, ventilation, humidity, fire protection, transit, fire alarm, power distribution, lighting, harmonics, selective coordination, VOIP, A/V, LAN, network integration, CCTV, access control, DAS systems. Energy efficiency inspection services. Sustainable green LEED certified. Drafting services. Staff of 24 persons."
EXTREME MEETINGS INC.,Data Diva,women-owned,Karen D Walter,17301 SE 42ND CT,BELLEVUE,WA,98006-8903,
"Petrocard, Inc. ",,women-owned,JENNIE  HANSON,730 Central Ave S,Kent,WA,98032-6109,"PetroCard will work closely with you to develop a custom fuel management program. From cardlock & mobile fueling, to bulk fuels & lubricants, we have the experience, expertise and products that will work for your company, fleet and budget."
KAPOWSIN AIR SPORTS LTD,,women-owned,KERI  BELL,141 W AIRVIEW WAY,SHELTON,WA,98584-1283,
"PIM Savvy, Inc",,women-owned,April  A Matsui,4007 31st Ave S,Seattle,WA,98108-1675,"PIM Savvy provides management consulting and project management services. PIM Savvy provides education and training consulting, and creates professional, engaging, interactive e-Learning courses and learning programs."
SOLECTRIC LLC,,women-owned,Sareena J Presnell,810 200th St NE,ARLINGTON,WA,98223-5541,"Residential, commercial, industrial, solar, utility electrical work"
"Green Sweep Asphalt Service, LLC",Green Sweep Asphalt Service,women-owned,JENNIFER AKERILL,12312 NE 99th St,Vancouver,WA,98682-2417,"-environmentally friendly street sweeping, parking lot maintenance & catch basin cleaning -TWIC certified -NAPW member -state of the art equipment (TYMCO 600) -use Recycling Centers to manage waste materials and lessen contribution to landfill"
"BREWER, PAMELA L ",,women-owned,PAMELA L. BREWER,7901 WALNUT RD NE,OLYMPIA,WA,98516-9550,"Provides music in support of religious services, memorial services and weddings."
"IND Analytical, LLC",,women-owned,TIFFANY A RUSSELL,520 SE Columbia River Dr Apt 223,Vancouver,WA,98661-8033,We perform cleanroom performance testing and cleanroom consulting services.
"Logistic Resource Solution, Inc ",LRS ,women-owned,DARRYL  SIMMONS,15413 1ST AVE CT SO STE 106,Tacoma,WA,98444-4606,"Logistic Resource Solutions, Incorporated (LRS) provides comprehensive management and functional support services to government agencies and corporate organizations. LRS construction division has over 60 years of exeperience."
"MEDPACS, LLC",,women-owned,Sharon Wallace,6523 CALIFORNIA AVE SW STE 273,SEATTLE,WA,98136-1833,"Healthcare Support Services, IT Support and Consulting, Case Management, Picture and Archiving System Support (PACS), IT Infrastructure Management and Operation. Application Consulting and development"
Dean Alan Architects PLLC,,women-owned,ANGELA  GEE,1511 3RD AVE STE 805,SEATTLE,WA,98101-1689,"Full service, woman owned design firm, providing architectural services, including site planning, program development, building design, construction administration, and interior design. The firm has over 25 years of experience designing for a variety of building types, including: •Commercial - Retail, Offices, Commercial Kitchens, Restaurants • Medical - Medical/Dental Offices • Public - Public Adminstrative Buildings, Safety Facilities, Courthouses, etc. • Residential - Single and Multi-Family • Airport Terminals"
"General Contractor, LLC, The",,women-owned,Diana Braun,6212 beartrack way,Fruitland,WA,99129-5110,Wildland fire fighting contractor with 2 type 6 brush trucks and full crews. Mobile Trailers 3 handwashing units with 12 sinks each.
"ECO Resource Group, LLC",,women-owned,SANDRA Davis,13616 SUNRISE DR NE,BAINBRIDGE ISLAND,WA,98110-4158,"ECO integrates environmental, community and organizational strategies for the success of business, community and government organizations worldwide."
CATHY ANGELL COMMUNICATIONS LIMITED LIABILITY COMPANY,,women-owned,Cathy Angell,208 BAYSIDE RD,BELLINGHAM,WA,98225-7710,"I teach individuals and agency staff how to improve their presentation and training materials through the use of best practices, adult learning principles, and effective slide design.  My specialty is helping scientists, public officials, graduate students, and educators communicate science and data to non-scientists."
"Kauffman & Associates, Inc.",,women-owned,JOANN KAUFFMAN,S 165 Howard St,Spokane,WA,99201-4444,"KAI delivers innovative solutions for federal agencies, tribal and local governments, and private organizations. We take the time to understand the culture of each organization we serve. At KAI, we provide high-quality research and evaluation, training and technical assistance, communications, meeting and event planning, and organizational transformation services. Including Strategic Planning & Facilitation; Logistical Support for Conferences and Meetings; Cultural resources; Government Policy Analysis."
LYNCH JANITORIAL AND CLEANING,,women-owned,Leslie Lynch,36415 NE ELLIOTT RD,YACOLT,WA,98675-4914,"LYNCH Janitorial and Cleaning,LLC provides high quality, detail oriented commercial janitorial services including window washing and carpet cleaning. LYNCH Janitorial has 'green cleaning' service programs available."
"WESTCOAST INDUSTRIAL ELECTRIC COMPANY, INC.",,women-owned,Monique C Keranen,918 S HORTON ST STE 921,SEATTLE,WA,98134-1949,"Westcoast is a commercial and Industrial Electrical contractor with a Material Management and Procurement division. We are licensed and bonded and exclusively employ trained, expert 01 Journeyman Electricians. Above all, we value our customer relationships. Prompt, consistent professionalism is our guarantee. Our material management service will provide procurement & furnishing of materials with ongoing management & logistics of the order. From understanding the project drawings & specifications, managing the submittal process through approval, attending page-turn meetings, providing weekly tracking reports, and receiving materials onsite, we are involved with every step of the process. Our intention is to provide our customers with solutions that augment their material ordering process."
"Kba, Inc.",KBA CONSTRUCTION MANAGEMENT,women-owned,Kristen M Overleese,11201 SE 8TH ST STE 160,Bellevue,WA,98004-6420,"CONSTRUCTION MANAGEMENT, CONTRACT ADMINISTRATION, CLAIMS ANALYSIS, CONSTRUCTION ENGINEERING. ALSO PROVIDES CONSTRUCTION INSPECTORS, SCHEDULERS, SUPERINTENDANTS, DOCUMENTATION. SPECIALISTS ON A PROJECT BY PROJECT BASIS. COST ESTIMATING AND VALUE ENGINEERIN"
GN SQUARED CONSTRUCTION LLC,,women-owned,Marquia Wooten,1535 24TH AVE,SEATTLE,WA,98122-3008,"GN Squared Construction LLC provides commercial and residential clean-up services dedicated to providing quality results with integrity and style. We offer experience in: Janitorial Duties, Final Construction Clean-Up, Tenant Improvements, Removal of debris, Floor Care and more. Our goal is to turn messy post-construction spaces into interiors that shine, delivering a level of professionalism that demands 100% satisfaction. Our energetic, eco-friendly approach is formed by close attention to detail, strong work ethic, and the ability to please the most exacting clients."
"SCAN2CORE, INC",,women-owned,Lori Langfang,17546 110TH AVE SE,YELM,WA,98597-9611,"Scan2Core, Inc. is a non-destructive concrete scanning and coring company located near Seattle, Washington with more than 20 years of experience in the residential and commercial construction industries. Our services include but are not limited to: concrete & structural radar imaging, core-drilling, and 3D laser scanning and mapping. We utilize ground penetrating radar or GPR to see through concrete and map subsurface objects below and within concrete such as rebar, PT (post tension) cables, conduits/smurf tube, pipes, slab-thickness, beams, and voids."
"SEALX, L.L.C.",,women-owned,Jaz Singh,11316 NE 116TH CT,VANCOUVER,WA,98662-3250,"We provide stone laminating surface protection and sealing services for stone, concrete, wood, tile and grout. Our best-in-market sealants are premium water and oil repellent, protects surfaces and keeps it looking new long term. Our unparalleled stone laminate is made of anti-etch, stain-proof high tech polyester and provides a long product life."
ThoughtSwift LLC,,women-owned,Marlece E. Watson,13619 SE 37th St,Vancouver,WA,98683-7779,"ThoughtSwift provides electronic mental health, alcohol, drug(prescription, cannabis, opioid and other stimulants) tobacco, obesity assessments to primary care providers. ThoughtSwift also provides electronic Annual Wellness Visits for Medicare eligible seniors. ThoughtSwift is found in health clinics throughout the United states and can be used in clinics with or without an EMR system. ThoughtSwift provides diagnostics on depression, alcohol, drug usage, pain, anxiety and also prescreens for HIV, CVD, Diabetes, Dementia, COPD and Heart Failure. Our mobile delivery method is perfect for rural health and home health. ThoughtSwift helps compliance with the Affordable Care Act, Preventative Care regulations and provides a suicide prevention strategy . All tests are Medicare, Private Insurance and Medicaid in most states eligible. ThoughtSwift produces CDC documentation to dispense Opioid drugs."
"M & M Restoration, Inc.",Servpro of Northeast Spokane,women-owned,Dena L Maas,5402 N Julia St,Spokane,WA,99217-6653,"We provide commercial and residential restoration services for properties affected by flood, storm damage,fire, and mold. We also provide cleaning services ranging from general cleaning to trauma/biohazard cleaning. We offer emergency services 24 hours a day, 7 days a week."
"E&S Engineering, PLLC",,women-owned,Pamela Pickett,78410 N OVERLOOK DR,BENTON CITY,WA,99320-8764,"Electrical Engineering, Project Management, Business/Executive Management"
"U.S. Testing Equipment, Ltd. ",Cargo Risk Solution ,women-owned,Lindsey Carpenter,"7201 NE 18th Street, Suite A",VANCOUVER,WA,98661-7325,"We are a leader in Detection Security with extensive experience in Walk Through and Hand Held Metal Detectors, Security X-ray, Explosive Trace Detection (ETD), Automatic Under Vehicle Inspection Systems, Human Detection Systems and Bio-Detection systems."
Pilot Knob Construction Inc,,women-owned,Phoebe A Oglesby,160 NW Simmons Rd,White Salmon,WA,98672-8735,"Road building, grading and excavation,drilling, blasting (close proximity and underwater), rock crushing and gravel production, asphalt/cement recycling, railroad maintenance, site prep and development"
"RUTH'S CLEANING SERVICES, LLC",RUTH'S HOUSEKEEPING & JANITORIAL SERVICES,women-owned,Ruth Vargas,603 RONALD AVE,CLE ELUM,WA,98922-1037,
J B KERR CONSTRUCTION,,women-owned,John Kerr,1117 NW 5TH AVE,CAMAS,WA,98607-2601,"REMODELING OF COMMERICAL BUILDINGS & TENANT IMPROVEMENT - ACOUSTICAL CEILING INSTALLATION; SHEETROCK, DRYWALL AND STEEL STUDS INSTALLATION; PAINTING, WALL FINISHES, DOORS,FRAMES AND HARDWARE. ALL PHASES OF GENERAL CONTRACTING."
"Aable Safety Clean, Inc.",,women-owned,Erin Harris,18848 NE 84TH ST # 6201,Redmond,WA,98052-0000,"Aable Safety Clean is an industry leader in commercial kitchen hood cleaning. Aable Safety Clean is committed to providing dependable and professional service along with maintaining the highest level of ethical standards. We will take every possible step to insure your commercial kitchen hood system is cleaned thoroughly and properly. All cleanings are in compliance with the (N.F.P.A) National Fire Prevention Association ’96. Aable Safety Clean services a high volume of customers which helps enable us to keep prices low without sacrificing quality. We offer our clients the most experienced certified technicians in the industry. We currently service thousands of commercial kitchens across the Pacific Northwest including many; fine dining restaurants, fast food chains, grocery stores, hotels, bars, golf courses, hospitals, retirement homes, government facilities, universities, and local school districts."
J R PLASTER & PAINT CO INC,,women-owned,Joy RAGLAND,7100 S SUNNYCREST RD,SEATTLE,WA,98178-2652,"General Contractor Building and Remodeling, Painting contractor"
JOZYGEE LLC,,women-owned,ADEOTI  T ADEDIRAN,5280 MONICA ST,WEST RICHLAND,WA,99353-6086,Electrical Engineering main emphasis power systems
THOMPSON ELECTRICAL CONSTRUCTORS INC,,women-owned,Sonia R Billingsley,150 100TH ST S,TACOMA,WA,98444-6513,"Services: Government Agencies, JBLM, PSNS, Bangor, Ballard Locks, VA, Army Reserve Center Pier 23, FAA, KCHA; local agencies: University Place, Pierce County, City of Tacoma, School Districts, Medical Facilities, Franciscan Medical Campuses, Western State Hospital,Utility Work: Communication sites, Road Construction projects such as street lighting, traffic signals, solar school zone flashing beacons, solar crosswalks and traffic loops, Low Volt: Fiber Optic Cabling, Data, Communications"
Emerald Paint & Coatings Inc,,women-owned,DONALD  Herzberg,1520 Parker Way Ste B,Mount Vernon,WA,98274-2595,"paint, industrial coatings, delivery, specification, moisture testing, NACE Inspection"
"Custom Interface, Inc.",,women-owned,Karolynn Bruce,410 S Larch St,Bingen,WA,98605-8909,"We provide strategic design solutions that build value, reduce lead time and ensure performance meets expectations. We build products which operate in extremely harsh environments."
SCHIRA CONSULTING,,women-owned,CELT M SCHIRA,1028 12TH ST,BELLINGHAM,WA,98225-0000,"Electrical design services (power, lighting, communications and photovolataics) informed by sustainable building expertise. We provide elctrical engineering for the built environment. We meet the clients’ goals and budget. Solid initial electrical design saves money in construction, operations, maintenance and future building reuse. Sustainably designed buildings are more energy efficient, have higher building rental and resale values, higher employee satisfaction, and better customer response."
"PART WORKS, INC., THE",,women-owned,Larry Farley,2900 4TH AVE S,SEATTLE,WA,98134-1936,"Wholesaler of plumbing repair parts, tools, backflow, partitions, nurse call parts and sewer equipment."
"Wille, Inc",Wille Design,women-owned,ROBIN  WILLE,525 Belmont Ave E,Seattle,WA,98102-4874,"Interior Design, Space Planning, Project Managment, Sustainability Consulting; Graphic Design & Environment Graphic Design"
"Winkle, Deborah J ",Always Quality Cleaning ,women-owned,Deborah Winkle,2461 Ellensburg Ranches Rd,Ellensburg,WA,98926-8898,"Six years experience in commercial and residential cleaning & janitorial service. Interior window washing, floor waxing, and all other services as needed."
TANDEM EDITING LLC,,women-owned,Cynthia Reeh,2940 WESTLAKE AVE N STE 303,SEATTLE,WA,98109-1969,"Tandem Editing LLC helps smart, committed people achieve their communication goals. We work in tandem with you to produce text that is clear, accurate, respectful, and ready to use. Founded in 2010, Tandem Editing combines the skills and experience of three editors. Together, we offer comprehensive editorial support: project management, skilled editing, subject-matter expertise, and greater availability than any single editor can offer. We’ve got you covered."
CORPSMART LLC,,women-owned,McKenna Weiks,106 5th Ave SE,OLYMPIA,WA,98501-6918,"Serving law firms, corporations and financial entities to provide UCC lien searching, UCC filing, corporate filings, corporate document retrieval, registered agent, independent director and business licensing and verification services."
"NETLINK.COM, INC.",GTC TECHNICAL SUPPORT,women-owned,Steve Batdorf,4 KITTITAS ST STE 300,WENATCHEE,WA,98801-6008,"World-class CRM solutions with cost effective service packages. Customizable and scalable 24x7x365 coverage. Efficient resolution using live operators providing technical support, call/trouble ticketing, messaging service, dispatch, and provisioning."
Spring Environmental Inc ,,women-owned,BETH F Hodgson,1011 N Cedar St,SPOKANE,WA,99201-1914,Evaluate emissions control equipment; develop and negotiate air and waste permits; prepare and implement environmental and safety plans and training
ADD SECURITY INCORPORATED,,women-owned,V Jean Brown,910 NE MINNEHAHA ST STE 9,VANCOUVER,WA,98665-8749,"Over 34 years of High Level, Professional Security Guard and Patrol Services.At ADD Security we provide something more at your site than just a highly trained professional Security Guard. We place technology on your site that not only allows you the proof and accountability of our performance, but also actionable intelligence in real time."
YES WE CAN FLAGGERS LLC,,women-owned,Tamara J  Harris,6883 HOLLY PARK DR S,SEATTLE,WA,98118-3501,Specialize in traffic control service and instruction. Over 26 years of experience in flagging and directing traffic. Excellent safety rating. State certified Flagger instructor.
"SPECTRAGEN INFORMATICS, LLC",Spectragen Informatics,women-owned,Paul A Rudnick,4275 Sorrel Ave NE,Bainbridge Island,WA,98110-2019,"We offer scientific consulting in the area of biological mass spectrometry, specializing in data analysis and informatics. Our specialized area of focus is proteomics."
NEW PURSUIT CONSULTING SERVICES - LLC,,women-owned,Gila  J Burton-Curl,24271 229TH AVE SE,MAPLE VALLEY,WA,98038-5162,"Provide custom services to automate data and information. New Pursuit seeks to analysis business data by creating database, SQL Reports, data visualization, Dashboard and automated system to aid manage in understanding business data. Services include geo-database, relational database design from development to back-end management."
"JOYCE KIRANGI, CPA, LLC",,women-owned,Joyce Kirangi,10522 SE 206TH PL,KENT,WA,98031-1588,"Joyce Kirangi, CPA, LLC, principal owner, Joyce Kirangi, has over 20 years of cross-functional experience in government audits, accounting, and extensive knowledge in government operations. We have extensive experience working with government officials. We conduct our work in accordance with government auditing standards (Yellow Book), and applicable AICPA standards. Our service includes: pre-audit services, accounting and auditing services, special studies/analysis services/bookkeeping, internal controls and risk assessments, governance/strategic initiatives audits, and performance audits to determine effectiveness and efficiency of government programs. We conduct extensive compliance audits including: construction, concession, contract/vendor, special/fraud investigations, federal financial management assistance -Single Audits. We also provide advisory/management consulting services in various aspects of government operations - financials and operations."
MILESTONE WORLDWIDE LLC,,women-owned,Amanda Shesterkin,1001 4th Ave Ste 3200,SEATTLE,WA,98154-1003,"Milestone Worldwide provides expert, experienced Professional Services, Project Management, Project Controls, Cost Engineering, Estimating, Scheduling, Risk Management, Document Controls, Project Administration."
LAYLAND CONSTRUCTION LLC,,women-owned,jeffery t layland,35217 Kinsman Rd E,Roy,WA,98580-8357,we are a construction company that also does cleaning and removal. Including bio hazardous waste removal and disposal.
SUNSET JANITORIAL INC.,,women-owned,Katherine A. Marks,33 ORVIS ST,PORT ANGELES,WA,98362-9325,"SUNSET JANITORIAL INC is the leading provider of cleaning services with an outstanding reputation for quality and integrity. We provide premium cleaning services for buildings, offices, retail spaces, medical offices, and more. We provide high quality office and building cleaning services, Commercial cleaning, Carpets, Windows, floors maintenance, building cleaning, janitorial, building maintenance and cleaning. We also offer 100% organic cleaning solutions."
DIMENSIONAL DBA LLC,,women-owned,Matthew D Parker,18925 SE 227TH PL,RENTON,WA,98058-0473,DBA and Exadata services along with Hadoop Big Data Services and cloud database architecture for DBAAS.
"Tellistic Technology Services, LLC",Washington Operations,women-owned,Ivan Lumala,21157 SE 28th Pl,Sammamish,WA,98075-7416,"Microsoft MCSE, Office 365 Certified, Azure Certification"
"SuperTeams, LLC.",,women-owned,Peg Drummond,435 14th Street,Bellingham,WA,98225-6104,Leadership and Facilitation training for LEAN/Six Sigma and other CPI professionals. We provide the 'People Skills' for success in Process Improvement. We have trained over 2000 LEAN Black Belts to date.
"Mountain Dog Sign Company, Inc.",,women-owned,Steven Kempf,"1620 N Mamer Rd, D100",Spokane Valley,WA,99216-3722,"Team of graphic designers and sign makers, skilled to tackle the full range of signage, including lobby signs, directional signage, tradeshow exhibits, interior commercial art and wall vinyl, wide-format digital printing, as well as vehicle graphics."
"HARRIS ENVIRONMENTAL GROUP, INC.",,women-owned,Lisa K Harris,333 FARALLONE AVE,TACOMA,WA,98466-7105,"Environmental clearance and permitting for natural and cultural resource management, National Environmental Policy Act and hazardous waste investigations/removal. Natural resource experience includes: endangered species studies and monitoring; vegetation and riparian restoration studies; bat roost investigations; endangered species recovery plans; noxious/invasive weed surveys; attitude surveys of endangered species; restoration plans; preparing NEPA documents and Integrated Natural Resource Management Plans. Cultural resource experience includes conducting small to large-scale cultural resources surveys, including: excavations, construction monitoring, and compliance, historic architecture documentation, ethnographic studies, and Integrated Cultural Resource Management Plans. Hazardous waste investigations include Phase I Environmental Site Assessments, asbestos and radon surveys, underground storage tank and lead studies/removal"
"Weatherhead Experience Design Group, Inc.",,women-owned,Andrea  K Weatherhead,5221 28TH AVE S,SEATTLE,WA,98108-3011,"Our award-winning team applies a wide range of skills (and intense passion) to every phase of the process — from initial exhibit concept, to sophisticated interactive design, to multimedia development, straight through to opening day — all while enjoying ourselves immensely. Clearly, this is what we were born to do."
Low-Rain Enterprises LLC.,Imperial Power Washing,women-owned,Jason Cornett,928 Allenwhite Dr,Richland,WA,99352-8620,"For the deepest levels of clean, trust Imperial Power Washing! From siding to concrete, fleet vehicles to airplanes, we’re the foremost authority when it comes to pressure washing in Richland, WA. With superior equipment, seasoned expertise and a penchant for delivering excellent customer service, we’re ready to tackle your job today!"
"WINDOW WORKS ENTERPRISES, LLC",BUDGET BLINDS,women-owned,Angela Carswell,9915 7TH AVE SE,EVERETT,WA,98208-3714,"Small Business specializing in all types of window coverings. We have over 1,000 associates in North America. We measure & install all types of window coverings including Solar Shades, 2' Blinds, Vertical Blinds Soft Shades, Cellular Shades and Shutters"
"Ekologi, LLC",Ekologi Design and Planning,women-owned,Kristi M Park,1311 32nd St,Bellingham,WA,98225-6919,"Ekologi Design and Planning is a women owned design collective specializing in landscape architecture, urban design and community planning. Headquartered in Bellingham, Washington our clients include public and private agencies throughout the Pacific Northwest region."
"Nestaval Corporation, The",,women-owned,GARTH  Nestaval,145 Cornwell Rd,Kelso,WA,98626-9691,"Heavy and Highway (streets, roads, site grading, clearing, culverts, minor structures, erosion control, erosion remediation)."
"Laboratory Design & Construction, Inc.",,women-owned,ELIA GROGAN,6659 Kimball Dr Ste D404,Gig Harbor,WA,98335-5141,"Our goal is to build high quality laboratories. We add value by contributing our knowledge in procuring the best laboratory furnishings for the project. A testament, is that we offer consistency & a strong belief in the manufacturers we represent."
"MJ Contractors, LLC",,women-owned,Janice Ventura,15156 NW Hite Center Rd,Seabeck,WA,98380-9283,
"RORE, INC.",,women-owned,GITA MURTHY,11505 Burnham Dr Ste 101,Gig Harbor,WA,98332-9173,"Woman owned, 8(a) certified, small disadvantaged business with capabilities in design-build construction, renovations, repairs, electrical, HVAC, airfield, control towers, CDC; and environmental remediation, geotechnical, haz mat management and disposal."
Mindlink Resources LLC,,women-owned,Stacey Brown-Sommers,294 N X Street,Washougal,WA,98671-8521,"Mindlink understands and answers the top concerns and challenges of companies, agencies, and non-profits who provide services for the 14% of the population who do not speak English. The fact is people are 75% more likely to engage with a service when it’s provided in their language. Having Mindlink as a partner will solve your communication challenges and allow your organization to grow."
"Lingo Institute LLC, The",,women-owned,Amber Nelson,10168 33rd Pl NE,Lake Stevens,WA,98258-6501,"The Lingo Institute, LCC delivers customized training, coaching, and consulting in language and leadership. We deliver keynotes, workshops, and specialized individual offerings using three orginal curricula: The Language of Leadership, Using Your Words to Increase Your Worth, and Men, Women, and Words: Bridging the Communications Gender Gap. All offerings help teams and individuals leverage the power of language to excel at work and in the world."
Active Relationships Center LLC,,women-owned,KELLY S CRAWFORD,700 W 7th Ave Unit 501,Spokane,WA,99204-2819,"Develop relationship and life skills curricula, conduct professional certification trainings and courses for life skills, emotion management and relationship wellness. Able to deploy multiple presenter teams to various sites globally."
"IDEAS INTERNATIONAL, L.L.C.",,women-owned,RHONDA L. DEVITO,522 N Crestview Dr,Moses Lake,WA,98837-1415,"Woman-owned consulting and project management firm specializing in business launching & development, sourcing capital for startups and emerging companies. Financial packaging, business resource connections, market development, public contracting preparation, gov't certification applications, special development ventures. WA State contractor to DSHS Div. of Vocational Rehab and Div. of Svcs for the Blind to help their clients start new companies."
CARAVEL MARKETING INC,,women-owned,Teri K Bellamy,15673 POINT MONROE DR NE,BAINBRIDGE ISLAND,WA,98110-4190,"Caravel Marketing is a national consulting firm specializing in sponsorship planning and sales. We develop and execute plans to increase revenue and build meaningful partnerships for entertainment venues, community festivals, park districts, state fairs, and sporting events. We offer a unique combination of experience selling sponsorships, securing media partners, producing relevant and entertaining events, and effectively leading teams. Caravel has partnered with many iconic properties and brands to develop plans and generate revenue from local entertainment venues to international sports leagues. We serve as advisors and facilitators in the areas of sponsorship, revenue development, marketing, social and digital media."
"Iron Mountain Management, LLC",,women-owned,Meghan R Chalk,1846 Terminal Dr,Richland,WA,99354-4965,"A staffing, project management, and construction management firm. Organizes and manages technical and professional employees on construction, infrastructure, engineering, and environmental remediation projects; administers contracts; provides subject matter expertise; collaborates with union workforce; coordinates employee onboarding and offboarding; and facilitates workshops. Offers design engineering consulting; cost estimating; contract staffing services; human resources consulting; recruiting; business management consulting; electric and water utilities management consulting; facilities support services; independent assessments and study services; records management; document preparation services; workforce planning; professional development; training; mentoring; coaching; and career development."
"Air Cargo Equipment, Incorporated",Air Cargo Equipment,women-owned,BRIAN D CAREY,"702 Battersby Ave., Suite 101",Enumclaw,WA,98022-5001,"FAA Repair Station. Repair and overhaul of on-aircraft cargo system components. Latches, restraints, locks, stops, rollers, rails, ball mats, power drive units"
Blue Pacific Global Logistics Incorporated,Blue Pacific Expedited,women-owned,Matthew J Holmes,11601 State Route 302 NW Ste C,Gig Harbor,WA,98329-7258,"Business management and consulting services pertaining to logistics and freight transportation arrangement, process, and distribution."
Art N Stitches Inc ,,women-owned,Brenda S Hackett,5013 PACIFIC HWY E STE 13,FIFE,WA,98424-3421,"Custom embroidery, Letterman jackets, Chenille emblems, Chain Stitch, Tackle Twill, Apparel decoration"
"BECKETT, JEAN","Beckett Group, The",women-owned,JEAN  BECKETT,8715 RANDALL DR NW,GIG HARBOR,WA,98332-2105,"The Beckett Group, a Transportation Strategist firm, works with agencies to review logistics and supply chains, identifes policies and projects required to meet the Economic growth needs of the nation."
"FORREST, DEBORAH",HARMONY HEALTH AND HEALING,women-owned,Deborah Forrest,2121 MERIDIAN AVE E STE 9,EDGEWOOD,WA,98371-1030,"Harmony Health and Healing is a Women Owned Wellness Company Specializing in the relief of Post Traumatic Stress Disorder (PTSD), trauma, stress and anxiety. By means of Hypnotherapy and Neuro Linguistic Programming (NLP), both proven non-invasive non-pharmaceutical treatments, we focus on returning clients to their pre-trauma activities of daily living."
SAFE & SOUND SECURITY LLC,,women-owned,Angeline Barnes,4302 A S PINE ST,TACOMA,WA,98409-6550,"We provide security guards for long term or temporary projects and locations. Foot patrol or vehicle patrol services. Safeguard and monitor construction sites, commercial & institutional buildings and private properties."
SUSAN MARESMA SOURCING SERVICES,GASKET SOURCE NW,women-owned,SUSAN Maresma,2140 SE 8TH PL,RENTON,WA,98055-3948,
